,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
43,personální odbor,Vít Šimral,Přednáška a popularizace,Dlouhodobý úkol #5054: Piráti do hospod,2.5,,2017-01-31
44,parlamentní tým,Vít Šimral,Přednáška a popularizace,Úkol #5104: Koordinace MPSV,2.5,,2017-01-31
55,mediální odbor,Vít Šimral,Telefon,Úkol #4156: Záměr: Platební brána,1.0,,2017-01-31
56,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.0,,2017-01-31
111,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #5104: Koordinace MPSV,1.0,,2017-01-30
112,parlamentní tým,Vít Šimral,Schůzky,Úkol #5105: Koordinace analytiky pro volby,2.5,,2017-01-30
113,personální odbor,Vít Šimral,Mediální výstupy,Dlouhodobý úkol #5054: Piráti do hospod,3.0,,2017-01-30
158,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #5105: Koordinace analytiky pro volby,1.0,,2017-01-29
177,parlamentní tým,Vít Šimral,Příprava dokumentu,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2017-01-28
206,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #5105: Koordinace analytiky pro volby,1.5,,2017-01-27
218,parlamentní tým,Vít Šimral,Administrativa,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2017-01-27
220,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #5105: Koordinace analytiky pro volby,1.5,,2017-01-27
251,mediální odbor,Vít Šimral,Schůzky,Úkol #3971: Výběrové řízení na řešení prodeje propagačních předmětů,2.5,,2017-01-26
252,personální odbor,Vít Šimral,Schůzky,Dlouhodobý úkol #5054: Piráti do hospod,0.75,,2017-01-26
261,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.0,,2017-01-26
263,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),0.5,,2017-01-26
295,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #5104: Koordinace MPSV,1.0,,2017-01-25
299,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #5105: Koordinace analytiky pro volby,1.5,,2017-01-25
309,mediální odbor,Vít Šimral,Schůzky,Úkol #3971: Výběrové řízení na řešení prodeje propagačních předmětů,2.0,,2017-01-25
310,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.0,,2017-01-25
311,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #5105: Koordinace analytiky pro volby,1.0,,2017-01-25
356,parlamentní tým,Vít Šimral,Schůzky,Úkol #3458: Volby 2017 (7/16 - 25/1/17),2.5,,2017-01-24
357,parlamentní tým,Vít Šimral,Schůzky,Úkol #3458: Volby 2017 (7/16 - 25/1/17),1.5,,2017-01-24
358,personální odbor,Vít Šimral,Schůzky,Dlouhodobý úkol #5054: Piráti do hospod,1.5,,2017-01-24
362,finanční odbor,Vít Šimral,Studium podkladů,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.2,,2017-01-24
363,finanční odbor,Vít Šimral,Administrativa,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.1,,2017-01-24
365,finanční odbor,Vít Šimral,Studium podkladů,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.3,,2017-01-24
366,finanční odbor,Vít Šimral,Administrativa,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.2,,2017-01-24
367,finanční odbor,Vít Šimral,Administrativa,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.2,,2017-01-24
368,finanční odbor,Vít Šimral,Studium podkladů,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.3,,2017-01-24
369,finanční odbor,Vít Šimral,Studium podkladů,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.5,,2017-01-24
370,finanční odbor,Vít Šimral,Administrativa,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.2,,2017-01-24
371,finanční odbor,Vít Šimral,Příprava dokumentu,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.3,,2017-01-24
372,finanční odbor,Vít Šimral,Administrativa,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.2,,2017-01-24
401,finanční odbor,Vít Šimral,Příprava dokumentu,Úkol #5082: Vyžádávání dodatečných údajů Lukášem Novým,0.3,,2017-01-23
402,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #3458: Volby 2017 (7/16 - 25/1/17),1.75,,2017-01-23
405,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2017-01-23
409,parlamentní tým,Vít Šimral,Příprava dokumentu,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.0,,2017-01-23
410,personální odbor,Vít Šimral,E-mail,Dlouhodobý úkol #5054: Piráti do hospod,1.0,,2017-01-23
411,parlamentní tým,Vít Šimral,Příprava dokumentu,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2017-01-23
433,parlamentní tým,Vít Šimral,Schůzky,Úkol #3458: Volby 2017 (7/16 - 25/1/17),4.0,,2017-01-22
434,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #3458: Volby 2017 (7/16 - 25/1/17),1.0,,2017-01-22
450,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #3458: Volby 2017 (7/16 - 25/1/17),2.5,,2017-01-21
463,parlamentní tým,Vít Šimral,Příprava dokumentu,Úkol #3458: Volby 2017 (7/16 - 25/1/17),1.0,,2017-01-20
464,parlamentní tým,Vít Šimral,Schůzky,Úkol #3458: Volby 2017 (7/16 - 25/1/17),2.5,,2017-01-20
501,parlamentní tým,Vít Šimral,Jednání,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.0,,2017-01-19
502,personální odbor,Vít Šimral,Schůzky,Dlouhodobý úkol #5054: Piráti do hospod,1.0,,2017-01-19
545,parlamentní tým,Vít Šimral,Jednání,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),5.5,,2017-01-18
594,parlamentní tým,Vít Šimral,Telefon,Úkol #3458: Volby 2017 (7/16 - 25/1/17),1.0,,2017-01-17
595,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2017-01-17
