,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
364,Královehradecký kraj,Martin Jiránek,Jednání,Dlouhodobý úkol #6156: Zasedání výborů,4.5,,2017-06-07
384,Královehradecký kraj,Martin Jiránek,Studium podkladů,Dlouhodobý úkol #6156: Zasedání výborů,1.2,,2017-06-06
394,Královehradecký kraj,Martin Jiránek,Schůzky,Dlouhodobý úkol #6432: Další činnost krajského zastupitele,4.2,,2017-06-06
424,Královehradecký kraj,Martin Jiránek,Příprava dokumentu,Dlouhodobý úkol #6432: Další činnost krajského zastupitele,6.5,,2017-06-05
